1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
Output of simple 2-box model under RCP3PD radiative forcing,,,,,,,,,Output of simple 2-box model under RCP45 radiative forcing,,,,,,,,,Output of simple 2-box model under RCP6 radiative forcing,,,,,,,,,Output of simple 2-box model under RCP85 radiative forcing,,,,,,,,
Low  response ECS=1.5; TCR=1.0K; Aerosol scaled by:     0.132488,,,,,,,,,Low  response ECS=1.5; TCR=1.0K; Aerosol scaled by:     0.131374,,,,,,,,,Low  response ECS=1.5; TCR=1.0K; Aerosol scaled by:     0.125056,,,,,,,,,Low  response ECS=1.5; TCR=1.0K; Aerosol scaled by:     0.134639,,,,,,,,
Low AR4 vals  ECS=2.0; TCR=1.0K; Aerosol scaled by:     0.132488,,,,,,,,,Low AR4 vals  ECS=2.0; TCR=1.0K; Aerosol scaled by:     0.131374,,,,,,,,,Low AR4 vals  ECS=2.0; TCR=1.0K; Aerosol scaled by:     0.125056,,,,,,,,,Low AR4 vals  ECS=2.0; TCR=1.0K; Aerosol scaled by:     0.134639,,,,,,,,
High response ECS=4.5; TCR=2.5K; Aerosol scaled by:      1.79689,,,,,,,,,High response ECS=4.5; TCR=2.5K; Aerosol scaled by:      1.79717,,,,,,,,,High response ECS=4.5; TCR=2.5K; Aerosol scaled by:      1.79383,,,,,,,,,High response ECS=4.5; TCR=2.5K; Aerosol scaled by:      1.79919,,,,,,,,
High AR4 vals ECS=4.5; TCR=3.0K; Aerosol scaled by:      2.06191,,,,,,,,,High AR4 vals ECS=4.5; TCR=3.0K; Aerosol scaled by:      2.06226,,,,,,,,,High AR4 vals ECS=4.5; TCR=3.0K; Aerosol scaled by:      2.05827,,,,,,,,,High AR4 vals ECS=4.5; TCR=3.0K; Aerosol scaled by:      2.06466,,,,,,,,
Year,Observations,Total forcing,Aerosol forcing,Cumulative CO2,Low response,Low - AR4,High response,High - AR4,Year,Observations,Total forcing,Aerosol forcing,Cumulative CO2,Low response,Low - AR4,High response,High - AR4,Year,Observations,Total forcing,Aerosol forcing,Cumulative CO2,Low response,Low - AR4,High response,High - AR4,Year,Observations,Total forcing,Aerosol forcing,Cumulative CO2,Low response,Low - AR4,High response,High - AR4
1765,999,0,0,0.003,0.051702,0.0473076,0.0517425,0.228903,1765,999,0,0,0.003,-0.0208472,-0.326754,-0.0458419,0.499776,1765,999,0,0,0.003,-0.0569996,-0.670269,-0.115952,0.793844,1765,999,0,0,0.003,-0.0541691,-0.958163,-0.121897,1.16372
1766,999,0.126027,0.000955297,0.0113383,0.0537838,0.0376486,-0.0641571,-0.0377011,1766,999,0.126027,0.000955297,0.0113383,0.0535236,0.0373803,-0.0641237,-0.0376525,1766,999,0.126027,0.000955297,0.0113383,0.0520724,0.0358832,-0.0645104,-0.0382063,1766,999,0.126027,0.000955297,0.0113383,0.0542503,0.0381316,-0.0638901,-0.0373204
1767,999,0.273031,0.00142472,0.0250149,0.0601532,0.0437987,-0.0484085,-0.0183742,1767,999,0.273031,0.00142472,0.0250149,0.0598929,0.0435304,-0.0483751,-0.0183255,1767,999,0.273031,0.00142472,0.0250149,0.0584415,0.042033,-0.0487621,-0.0188798,1767,999,0.273031,0.00142472,0.0250149,0.0606198,0.0442819,-0.0481412,-0.0179932
1768,999,0.278871,0.000197399,0.0440298,0.0683658,0.0517357,-0.0282047,0.00638522,1768,999,0.278871,0.000197399,0.0440298,0.0681055,0.0514673,-0.0281713,0.00643389,1768,999,0.278871,0.000197399,0.0440298,0.0666539,0.0499699,-0.0285585,0.00587934,1768,999,0.278871,0.000197399,0.0440298,0.0688324,0.0522189,-0.0279373,0.00676641
1769,999,0.242045,-0.00127844,0.068383,0.0751883,0.0583409,-0.0115813,0.0267006,1769,999,0.242045,-0.00127844,0.068383,0.0749281,0.0580725,-0.0115479,0.0267492,1769,999,0.242045,-0.00127844,0.068383,0.0734766,0.0565752,-0.0119349,0.026195,1769,999,0.242045,-0.00127844,0.068383,0.0756549,0.058824,-0.0113141,0.0270816
1770,999,0.242824,-0.00273384,0.0980744,0.0806955,0.0636847,0.00164802,0.0428047,1770,999,0.242824,-0.00273384,0.0980744,0.0804353,0.0634165,0.00168135,0.0428533,1770,999,0.242824,-0.00273384,0.0980744,0.0789843,0.0619196,0.00129499,0.0422999,1770,999,0.242824,-0.00273384,0.0980744,0.0811619,0.0641677,0.00191484,0.0431851
1771,999,0.284142,-0.00454133,0.134104,0.0863385,0.0691663,0.0150314,0.059049,1771,999,0.284142,-0.00454133,0.134104,0.0860785,0.0688982,0.0150646,0.0590975,1771,999,0.284142,-0.00454133,0.134104,0.0846282,0.067402,0.0146793,0.0585455,1771,999,0.284142,-0.00454133,0.134104,0.0868047,0.069649,0.0152975,0.0594284
